gene,MF.score
MEF2C,7.61908019734283e-4
MEF2A,7.29456289253854e-4
OPA1,8.8591058760032e-5
SLC25A4,1.15926079205588e-4
TYMP,1.59474884643382e-4
LONP1,3.56843538182288e-4
MPV17,1.62295125683677e-5
MGME1,5.77758673652462e-5
PIF1,3.47478844702545e-4
MRPL17,1.35581458199227e-5
AKT3,4.7469615589892e-6
RNASEH1,2.70799976387178e-5
TK2,2.21847409998247e-4
DNA2,2.22468643472237e-4
POLG,6.75771131281649e-5
RRM2B,9.04323979025771e-5
DNAJA3,1.79542673384528e-4
CCDC111,6.03985424243003e-5
TEFM,8.01144497442551e-5
C10orf2,5.26813936581108e-5
POLG2,1.02763506222124e-4
LIG3,1.48561932382058e-4
SESN2,7.66710581243326e-5
MMP23A,2.5184874064389e-6
CHAF1B,3.71545021351282e-5
PAFAH1B1,3.18095838430364e-4
TBPL1,1.3639527447276e-4
TMF1,2.58472928458134e-4
FABP9,1.17924087502724e-5
TXNDC8,2.78978864924903e-5
ZPBP2,2.16702042945542e-5
CASC5,6.270031098899e-5
PVRL2,3.69649673005942e-4
TBC1D20,2.374008376013e-4
ZPBP,2.16702042945542e-5
SPACA1,1.55409037720224e-5
PLA2G3,8.54442928215603e-5
SEC23IP,2.9645546897367e-5
IFT88,2.31558182484762e-4
BBS2,2.11135655001142e-4
NEURL,1.59928660065834e-4
UBE2B,2.51483043731736e-4
TTLL5,2.8691812235181e-5
TPGS1,7.65931793176078e-5
KDM3A,1.91250824544227e-4
DMRTC2,2.7167761668088e-4
TNP1,1.94113425968755e-4
H1FNT,2.8797283189603e-5
PSME4,9.72427858824415e-5
SYCP3,3.88740958775177e-5
CHD5,1.93707330323935e-4
HIST1H2BA,7.84864609622235e-5
SYCP1,1.59088833954772e-4
SRPK1,3.03009976191774e-5
TSSK6,1.6074510258271598e-05
HMGB2,1.30815374227749e-4
PYGO2,8.04928754410517e-5
GOPC,2.23173561331275e-4
PYGO1,1.06825311212147e-5
SPEM1,1.13276237030921e-4
CFTR,4.81066539123981e-4
SLC26A3,9.27679131708478e-5
PRKACA,2.500170468467e-4
SEPT4,8.55760642330722e-5
CABYR,8.03826866234614e-5
DLD,1.55018115483821e-4
BSPH1,9.7539794578211e-6
PCSK4,2.5379315733582e-5
CATSPER4,4.54329242598522e-5
CATSPERD,2.88092064937672e-5
CATSPER3,4.0175494559148e-5
ROPN1L,1.54943007801728e-5
SLC26A6,6.96464893033248e-4
EHMT2,1.0928858817913e-4
DMC1,3.95460278574906e-5
HOOK1,3.16871239144256e-5
RAN,1.23413074992465e-4
KLHL10,5.48527640454454e-5
ADAD1,1.22515940011647e-5
AFF4,8.83300016548274e-6
OCA2,2.94759411773206e-4
FANCG,1.57617252758966e-5
SPINK2,1.01667674785895e-4
CELF1,7.61029017065905e-5
STRBP,1.10096036684153e-5
PIWIL1,5.80789083642039e-5
QKI,1.93431666950196e-5
CEP57,2.58123087350121e-5
DPY19L2,5.30185399392641e-6
CCNB1IP1,2.71051785192412e-5
REC8,1.22382511378544e-4
DHH,3.01485542355648e-5
SPAG6,6.55578613877164e-6
RNF8,1.28186988204279e-4
KIT,7.25432956472985e-4
HSPA2,2.18843352512689e-4
NME5,1.03360037945311e-4
TRIP13,4.70557776997298e-5
STK11,2.17314441553681e-4
PTCHD3,1.70447833980829e-5
ODF2,2.38981285531282e-5
MEI1,9.31242192634458e-6
NUP210L,1.28240013310301e-5
GALNTL5,6.19805572903048e-6
C11orf82,4.38079459094382e-5
SIX5,5.65936502781104e-6
PLD6,2.84163332246565e-4
PDILT,3.91327791033723e-5
TDRD5,2.31231055433251e-4
CAPZA3,3.24911542582175e-5
PACRG,2.59341306592277e-5
ZFP42,2.79475244406599e-5
TSSK2,7.99779726641191e-6
BBS4,3.09684928167804e-4
CIB1,3.04546292869353e-4
JAM3,1.39090133805475e-4
TSSK1B,6.94395203578464e-6
RNF17,3.52423265093005e-6
PANK2,6.34581892070558e-5
SLIRP,6.44117409939033e-5
ZMYND15,5.28727353696881e-6
ING2,1.50309745958147e-4
MKKS,2.65873295964704e-4
SPANXB1,2.97169356158419e-6
DDX25,2.54409062022543e-5
FNDC3A,1.59542815918987e-5
YBX2,7.84952185626634e-5
INSL6,8.08620023244198e-6
SPO11,2.86968715784594e-5
ETV5,1.1468866281001e-4
ZBTB16,1.44851736355929e-4
GDF9,7.81008649017249e-5
MLL4,1.1693755529101e-4
RPS6KA2,1.43288924112568e-4
PTK2B,4.53148118251961e-4
EREG,2.65166054949984e-4
FOXO3,1.20389236836456e-4
ANG,1.37449980035109e-4
CCNB1,4.58844497164812e-4
CDC25B,3.36460380805253e-5
INSL3,2.72120038785227e-5
BRCA2,2.00577472397379e-4
PDE3A,1.4054639998035e-4
PABPC1L,1.63188813016684e-5
RXFP2,3.28866095141249e-5
DAZL,1.13301567083647e-4
FBXO5,2.62884188328411e-4
CTNNB1,0.00147859813848355
ZGLP1,8.88353473289837e-6
ATM,3.7101736049442e-4
DMRT1,1.38711580919833e-4
INHBB,4.80870762563126e-4
BCL2,7.62740919397811e-4
ZP3,7.16078690000722e-4
WNT4,0.00111932515270655
FIGLA,7.99586927561212e-6
STRA8,3.13845883082731e-4
NPM2,1.11725150704781e-4
AMH,1.04112087968297e-4
GPR149,1.61116773316258e-4
BMPR1B,1.41816623804445e-4
RPS6,1.06708582702285e-4
IHH,5.89691080736492e-4
HEXB,2.24886432535814e-4
MLH1,4.38248165593785e-4
KIAA0430,1.22658047572659e-5
ERCC1,2.84587963958585e-4
NOBOX,1.29344275546896e-5
DIAPH2,1.23309405055257e-5
SRC,4.06329921399142e-4
NANOS3,9.27007982498016e-6
SOHLH1,1.07741532637963e-5
PAQR7,8.39252682967603e-6
HORMAD1,2.03622892277016e-4
ASPM,1.59448908949536e-4
PIWIL2,1.21993064134437e-4
PAQR8,8.39252682967603e-6
TAF4B,1.57444913237568e-5
SOHLH2,4.47121480465562e-6
PAQR5,4.05366947360282e-6
FMN2,1.85903460005517e-4
DDX20,4.29188263495234e-5
MTOR,3.99412121904014e-4
FANCC,3.34442552975971e-5
PRDM1,7.54976450111188e-5
ACVR1,4.55165262910184e-4
MSH2,5.79680018873899e-4
PRDM14,1.6337334861502e-4
SMAD5,8.53565510018223e-5
WT1,6.86262945112677e-4
AKT1,5.13061765362525e-4
BMP4,0.00286134708722757
RARA,3.72646703006445e-4
RPS6KB1,2.09232021595801e-4
ANGPT2,1.18936646781463e-4
TDRD6,1.92212997669327e-5
DEAF1,1.49035645676938e-5
CXCL12,2.17360026703893e-4
HILS1,2.4109540648309e-5
CXCR4,1.18466888092441e-4
TIAL1,1.08451000749384e-5
BAX,0.00120003056722677
BCL2L1,5.0811252699233e-4
PRSS42,5.19608826207452e-6
DZIP1,7.21002622749615e-6
DND1,8.94567315985551e-5
TDRD7,2.81963194614653e-5
TDRD1,4.40126986654856e-5
MOV10L1,1.34975197523361e-5
CELF4,9.51405615535666e-5
