gene,logFC
A1BG,-4.571054310118508
A1BG-AS1,0.18991458067318023
A1CF,-3.1545161985706223
A2M,-1.0827775915397837
A2M-AS1,0.7604446186499219
A4GALT,-0.13109673993022897
A4GNT,0.16861493245615342
AA06,0.021225479487285186
AAAS,-0.19189760350532367
AACS,0.34523073159737117
AADAC,-2.236707237462193
AADACP1,-0.5361418064147568
AADAT,-2.0596269336481057
AAED1,0.16899486540094302
AAGAB,0.3133201855365513
AAK1,1.3456193357730981
AAMDC,-0.4859927491184132
AAMP,-0.5075435382464929
AARS,-0.45338195835563605
AARS2,0.10229158705981437
AASDH,-0.670617602762419
AASDHPPT,0.37072816168554446
AASS,-2.885926599955191
AATF,0.04348067630847186
AATK,0.27057008061237325
ABAT,-3.8626548718629885
ABCA1,-0.4839753989139408
ABCA11P|ABCA10,-0.3106999857217693
ABCA17P,0.12480764463782641
ABCA2,0.2867446272253241
ABCA3,0.18319664787110837
ABCA4,0.04488491696137754
ABCA5,-2.281828390808921
ABCA6,-2.798532067309915
ABCA7,0.6105586712723943
ABCA8,-2.2951211399797193
ABCA9,-0.6769528068264834
ABCB1,-0.2855630650326476
ABCB10,-0.8742725943846789
ABCB11,-0.33384822641988965
ABCB4,-3.3954293245477634
ABCB4|ABCB1,-1.6569089988865575
ABCB5,-0.20489715787685686
ABCB6,-0.5190567200766409
ABCB7,-0.07092801833136003
ABCB8,-0.4977104572816716
ABCB9,0.6376985874660319
ABCC1,2.030877114310991
ABCC10,0.6261122226850706
ABCC11,-0.48807750349441037
ABCC12,0.08685893311745531
ABCC2,-2.093664941141135
ABCC3,-0.376727041126953
ABCC4,1.4569669385887412
ABCC5,1.7944502630195986
ABCC6,-3.489209641075243
ABCC6P1,-3.1840836188158184
ABCC6P2|ABCC6,-1.3761086246316911
ABCC9,-2.4515587278389788
ABCD1,0.042578767666361095
ABCD3,-0.4827999576668015
ABCD4,-0.41389386538223993
ABCE1,-0.44975192362460653
ABCF1,-0.17340025830417571
ABCF2,0.5877829608850765
ABCF3,-0.500500042404792
ABCG1,1.7092026152273783
ABCG2,-0.7247119619791578
ABCG4,-0.056878278252286564
ABCG5,-3.712042501391253
ABCG8,-1.8091590739280876
ABHD1,-0.12341076528210188
ABHD10,-0.8211364917332256
ABHD11,0.0865630449949741
ABHD12,0.9000317644963572
ABHD13,-0.9401226798030147
ABHD14A,0.2623961730412339
ABHD14B,-0.7006611448925216
ABHD15,-1.492955091094524
ABHD16A,-0.24540553080273764
ABHD17B,-0.46008101105359434
ABHD17C,-0.7635146845512482
ABHD18,-0.023814808895311426
ABHD2,-0.9421137404444503
ABHD3,-0.5553893279446517
ABHD4,-0.09669423463085453
ABHD5,-0.275538095975311
ABHD6,-1.8932626557393393
ABHD8,-0.4268447722738029
ABI1,0.1088115844859659
ABI2,0.39249398313919454
ABI3,0.8139825329136291
ABI3BP,0.6945740184033349
ABL1,0.4412496177725645
ABL2,0.18486577539988952
ABLIM1,0.2711325948205868
ABLIM2,0.4332739776267857
ABLIM3,-1.2852775761874833
ABO,-0.3609908678488081
ABR,1.5692146260432047
ABRACL,1.018308517858055
ABT1,-0.26145494770166816
ABTB1,0.517948283158745
ABTB2,-0.6114656870327556
ACAA1,-0.7647135392434365
ACAA2,-1.2631485647123875
ACACA,-1.3276209897573321
ACACB,-2.2465446603531922
ACAD10,-0.5677517910982699
ACAD11|NPHP3-ACAD11,-1.6842789592472538
ACAD8,-1.3612162595882988
ACAD9,-0.19827022492413773
ACADL,-3.1025554465587053
ACADM,-0.8075955553900526
ACADS,-1.9494513745708755
ACADSB,-3.291911522638662
ACADVL,-0.022136832926028804
ACAN,-0.1290285382909191
ACAP1,2.0604632953878146
ACAP2,0.5635080502947241
ACAP3,0.14570104143164708
ACAT1,-2.1993000055414056
ACAT2,-2.306320120075596
ACBD3,0.21486273043820694
ACBD4,-0.3874368838613429
ACBD5,-0.6975830291704627
ACBD6,0.6365105899074521
ACCS,0.49553952035092175
ACD,0.7563044985186705
ACE,1.8547553836506312
ACE2,0.9242259192375495
ACER1,-0.004215440283167725
ACER3,0.9660516619332578
ACHE,-0.21116746122169486
ACIN1,-0.034884624050594254
ACKR1,0.20485132915431412
ACKR2,-0.1146560971529784
ACKR3,1.269144898394346
ACLY,-0.6619772900262134
ACMSD,-3.9932618756500586
ACO1,-1.04315023686566
ACO2,0.1299281928325311
ACOT11,0.14108164983513105
ACOT12,-3.0651954911121484
ACOT13,-1.3784256354817814
ACOT2|ACOT1,-1.8287666329182664
ACOT4|LOC644189,-2.0597141617939614
ACOT6,-1.172833574706033
ACOT7,-0.23593735796693407
ACOT8,-0.49509457227659
ACOT9,0.8684508299783611
ACOX1,-1.1941374428667204
ACOX2,-2.3551112241648746
ACOX3,-0.5731969607786981
ACOXL,0.8492978406063963
ACP1,-0.8238661783540198
ACP2,-0.07875809904367304
ACP5,3.410082840354858
ACP6,-0.5799117135079739
ACPP,0.19441397397654306
ACPT,-0.8071420610914111
ACRBP,2.016982722706087
ACRV1,-0.24076360358989668
ACSBG1,0.03956666557620557
ACSBG2,-0.11752054656893722
ACSF2,0.297456476950988
ACSF3,0.2573552097873551
ACSL1,-2.6826703501705285
ACSL3,-0.6740592644293567
ACSL4,0.51750948781995
ACSL5,-0.7925845759831043
ACSL6,-0.6739065173343572
ACSM1,0.06300868529698278
ACSM2A,-4.8279278661834955
ACSM2A|ACSM2B,-4.666081411836923
ACSM2B|ACSM2A,-4.834678762281487
ACSM3,-2.373731307556711
ACSM5,-2.624420572705874
ACSS1,0.7360220780339197
ACSS2,-1.9948872518822434
ACSS3,-0.6409920659428485
ACTA2,2.50704789534958
ACTA2-AS1,-0.07850351114091975
